Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,29.322429906542055,2.314909091702214,0.21050634462733564,0.2384159112962393,0.16138906872610284,18655396,0.0,0.0,1.2903225806451613,99.6551724137931,0.0,0.0,0.0,89.7872340425532,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 312, 0, 0, 0, 0], [0, 0, 2, 151, 0, 0, 0, 2], [0, 1, 0, 289, 0, 0, 0, 0], [0, 0, 0, 122, 0, 0, 0, 0], [0, 0, 0, 143, 0, 0, 0, 0], [0, 0, 0, 333, 0, 0, 0, 0], [0, 0, 2, 22, 0, 0, 0, 211]]"
2,18.22429906542056,4.190282486103199,0.0227803738317757,0.125,0.038537549407114624,38745824,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 155, 0, 0, 0, 0, 0, 0], [0, 290, 0, 0, 0, 0, 0, 0], [0, 122, 0, 0, 0, 0, 0, 0], [0, 143, 0, 0, 0, 0, 0, 0], [0, 333, 0, 0, 0, 0, 0, 0], [0, 235, 0, 0, 0, 0, 0, 0]]"
3,27.686915887850468,1.8803473313649495,0.19491521398968212,0.27056595355917296,0.17002647184636008,58836254,0.0,0.0,94.19354838709677,73.44827586206897,0.0,0.0,0.3003003003003003,48.51063829787234,"[[0, 0, 21, 99, 0, 0, 2, 0], [0, 0, 53, 257, 0, 0, 2, 0], [0, 0, 146, 8, 0, 0, 0, 1], [0, 0, 73, 213, 0, 0, 4, 0], [0, 0, 119, 3, 0, 0, 0, 0], [0, 0, 3, 140, 0, 0, 0, 0], [0, 0, 294, 38, 0, 0, 1, 0], [0, 0, 121, 0, 0, 0, 0, 114]]"
4,20.735981308411215,2.0409515191007546,0.07199152934447052,0.162316715542522,0.08633608921990013,77491653,0.0,100.0,2.5806451612903225,0.0,0.0,27.27272727272727,0.0,0.0,"[[0, 104, 0, 0, 0, 18, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 125, 4, 0, 0, 2, 24, 0], [0, 230, 0, 0, 0, 60, 0, 0], [0, 122, 0, 0, 0, 0, 0, 0], [0, 104, 0, 0, 0, 39, 0, 0], [0, 333, 0, 0, 0, 0, 0, 0], [0, 47, 181, 0, 0, 0, 7, 0]]"
5,33.41121495327103,1.6720935415338587,0.21633161650607452,0.30013511051549435,0.21952523142265412,99017115,0.0,0.641025641025641,20.0,94.48275862068965,25.40983606557377,0.0,0.0,99.57446808510639,"[[0, 1, 0, 119, 2, 0, 0, 0], [0, 2, 0, 306, 0, 0, 0, 4], [1, 6, 31, 21, 9, 0, 0, 87], [0, 7, 2, 274, 5, 0, 0, 2], [0, 3, 24, 62, 31, 0, 0, 2], [0, 0, 0, 142, 0, 0, 0, 1], [0, 77, 16, 163, 26, 0, 0, 51], [0, 0, 1, 0, 0, 0, 0, 234]]"
6,22.371495327102803,1.8005456924438477,0.08729192046313962,0.22417365347693213,0.11663975721968534,113367423,95.90163934426229,56.41025641025641,0.0,0.0,0.0,0.0,27.027027027027028,0.0,"[[117, 5, 0, 0, 0, 0, 0, 0], [131, 176, 0, 0, 0, 0, 5, 0], [15, 9, 0, 0, 0, 0, 131, 0], [246, 34, 0, 0, 0, 0, 10, 0], [44, 33, 0, 0, 0, 0, 45, 0], [140, 3, 0, 0, 0, 0, 0, 0], [11, 232, 0, 0, 0, 0, 90, 0], [0, 0, 0, 0, 0, 0, 235, 0]]"
7,24.707943925233646,2.9352631833818226,0.115307911908646,0.22804799135791906,0.10860098908874355,127717730,0.0,4.807692307692308,79.35483870967742,98.27586206896551,0.0,0.0,0.0,0.0,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 15, 2, 295, 0, 0, 0, 0], [0, 0, 123, 32, 0, 0, 0, 0], [0, 0, 5, 285, 0, 0, 0, 0], [0, 0, 32, 90, 0, 0, 0, 0], [0, 0, 0, 143, 0, 0, 0, 0], [0, 20, 54, 259, 0, 0, 0, 0], [0, 1, 234, 0, 0, 0, 0, 0]]"
8,32.47663551401869,2.3826847208870783,0.13577852252268566,0.2601032832415811,0.16235312106378885,144938096,0.0,98.71794871794873,0.0,0.0,0.0,9.79020979020979,0.0,99.57446808510639,"[[0, 110, 0, 0, 0, 12, 0, 0], [0, 308, 0, 0, 0, 0, 0, 4], [0, 48, 0, 0, 0, 1, 0, 106], [0, 249, 0, 0, 0, 41, 0, 0], [0, 109, 0, 0, 0, 0, 0, 13], [0, 129, 0, 0, 0, 14, 0, 0], [0, 324, 0, 0, 0, 0, 0, 9], [0, 1, 0, 0, 0, 0, 0, 234]]"
9,38.55140186915888,1.2630150549941592,0.33902402937569376,0.3130163557190928,0.22513512442231132,159288401,0.0,63.46153846153846,81.93548387096774,9.655172413793103,0.0,4.895104895104895,89.1891891891892,1.276595744680851,"[[0, 99, 4, 12, 0, 2, 5, 0], [0, 198, 6, 6, 0, 0, 102, 0], [0, 10, 127, 5, 0, 0, 13, 0], [0, 161, 21, 28, 0, 29, 51, 0], [0, 5, 97, 12, 0, 0, 8, 0], [0, 111, 1, 23, 0, 7, 1, 0], [0, 8, 28, 0, 0, 0, 297, 0], [0, 0, 231, 0, 0, 0, 1, 3]]"
10,62.441588785046726,1.0309947221367448,0.4977465854708229,0.6198815807366811,0.5221751606941499,175073736,0.0,87.82051282051282,75.48387096774194,0.0,87.70491803278688,95.1048951048951,84.68468468468468,65.1063829787234,"[[0, 4, 0, 0, 20, 98, 0, 0], [0, 274, 0, 0, 5, 20, 13, 0], [0, 0, 117, 0, 26, 7, 4, 1], [0, 22, 4, 0, 55, 182, 27, 0], [0, 0, 12, 0, 107, 2, 1, 0], [0, 4, 1, 0, 0, 136, 2, 0], [0, 13, 13, 0, 24, 1, 282, 0], [0, 0, 81, 0, 0, 0, 1, 153]]"
