Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,38.23,1.8950375322335826,0.39096511730868366,0.3686656315121967,0.26000247504497725,4007520,99.48979591836735,93.568281938326,0.0,8.118811881188119,0.5091649694501018,0.0,0.0,74.61089494163424,0.0,92.36868186323092,"[[975, 1, 0, 0, 0, 0, 0, 1, 0, 3], [15, 1062, 0, 0, 0, 0, 0, 26, 0, 32], [814, 77, 0, 0, 1, 0, 0, 50, 0, 90], [674, 21, 0, 82, 0, 0, 0, 69, 0, 164], [24, 1, 0, 0, 5, 0, 0, 3, 0, 949], [609, 36, 0, 3, 0, 0, 0, 46, 0, 198], [542, 34, 0, 0, 0, 0, 0, 3, 0, 379], [42, 8, 0, 0, 0, 0, 0, 767, 0, 211], [612, 13, 0, 0, 0, 0, 0, 22, 0, 327], [50, 2, 0, 0, 0, 0, 0, 25, 0, 932]]"
2,56.2,1.5079142784539121,0.5538598671778809,0.5604382533490414,0.4629380378326201,8515980,95.51020408163265,97.79735682819384,0.3875968992248062,88.41584158415841,90.63136456211812,69.28251121076234,0.0,28.98832684824903,89.42505133470226,0.0,"[[936, 1, 0, 0, 3, 10, 0, 0, 30, 0], [0, 1110, 0, 3, 0, 4, 0, 0, 18, 0], [122, 76, 4, 250, 48, 9, 2, 0, 521, 0], [8, 27, 0, 893, 5, 22, 0, 2, 53, 0], [4, 20, 0, 2, 890, 16, 0, 0, 50, 0], [26, 54, 0, 108, 33, 618, 0, 0, 53, 0], [120, 43, 0, 1, 195, 217, 0, 0, 382, 0], [19, 83, 0, 27, 400, 8, 0, 298, 193, 0], [13, 18, 0, 22, 17, 33, 0, 0, 871, 0], [20, 33, 0, 7, 807, 79, 0, 0, 63, 0]]"
3,58.53,1.1596812304978172,0.602216443140982,0.5804403779829724,0.5060973216552184,13024440,99.28571428571429,96.91629955947137,22.771317829457363,93.76237623762376,98.16700610997964,69.28251121076234,0.0,72.27626459143968,26.591375770020537,1.3875123885034688,"[[973, 0, 0, 1, 3, 1, 0, 1, 1, 0], [0, 1100, 0, 22, 1, 7, 0, 0, 5, 0], [167, 28, 235, 505, 54, 2, 0, 15, 24, 2], [22, 6, 2, 947, 7, 17, 0, 6, 2, 1], [10, 2, 3, 1, 964, 1, 0, 0, 0, 1], [98, 9, 0, 119, 46, 618, 0, 2, 0, 0], [372, 26, 11, 6, 414, 129, 0, 0, 0, 0], [25, 33, 9, 45, 170, 0, 0, 743, 1, 2], [134, 20, 1, 175, 80, 280, 0, 12, 259, 13], [33, 10, 0, 10, 906, 16, 0, 20, 0, 14]]"
4,52.47,1.2140056380448632,0.6442828108469003,0.5158637019127469,0.4457824612703865,17031960,95.61224489795919,99.47136563876651,9.30232558139535,98.41584158415841,95.72301425661914,23.430493273542602,0.0,50.4863813229572,43.223819301848046,0.19821605550049554,"[[937, 1, 0, 36, 3, 0, 0, 0, 3, 0], [0, 1129, 0, 6, 0, 0, 0, 0, 0, 0], [26, 53, 96, 800, 39, 0, 0, 7, 11, 0], [0, 8, 0, 994, 5, 0, 0, 3, 0, 0], [2, 23, 2, 15, 940, 0, 0, 0, 0, 0], [32, 72, 1, 516, 39, 209, 0, 0, 23, 0], [154, 74, 59, 62, 524, 26, 0, 0, 59, 0], [7, 104, 0, 268, 128, 0, 0, 519, 2, 0], [11, 79, 0, 426, 34, 2, 0, 1, 421, 0], [16, 58, 1, 89, 839, 0, 0, 3, 1, 2]]"
5,73.62,0.794586566880869,0.8331023628820793,0.7297290220947372,0.7343382744960175,22041360,93.6734693877551,97.53303964757708,82.94573643410853,68.9108910891089,76.88391038696538,34.865470852017935,68.6847599164927,76.75097276264592,98.4599589322382,31.020812685827554,"[[918, 0, 1, 2, 2, 0, 0, 1, 56, 0], [0, 1107, 1, 1, 0, 0, 0, 0, 26, 0], [6, 23, 856, 8, 9, 0, 8, 4, 118, 0], [1, 32, 54, 696, 1, 5, 0, 2, 219, 0], [2, 24, 13, 0, 755, 0, 22, 0, 137, 29], [10, 29, 10, 42, 5, 311, 5, 0, 479, 1], [23, 22, 73, 1, 26, 12, 658, 0, 143, 0], [5, 74, 55, 9, 10, 0, 0, 789, 72, 14], [1, 5, 5, 1, 2, 0, 1, 0, 959, 0], [9, 22, 20, 3, 176, 2, 2, 16, 446, 313]]"
6,76.57,0.7021124766657527,0.7408987928368449,0.7620045171489686,0.72837822598418,24546060,97.95918367346938,94.80176211453745,78.00387596899225,83.46534653465346,92.76985743380855,46.18834080717489,86.32567849686848,84.3385214007782,98.15195071868584,0.0,"[[960, 0, 0, 0, 1, 0, 1, 1, 17, 0], [0, 1076, 0, 2, 0, 0, 3, 0, 54, 0], [16, 7, 805, 7, 21, 0, 21, 9, 146, 0], [11, 7, 32, 843, 3, 3, 1, 7, 103, 0], [2, 2, 3, 0, 911, 0, 25, 4, 35, 0], [60, 14, 4, 59, 24, 412, 15, 5, 299, 0], [37, 7, 7, 1, 36, 5, 827, 0, 38, 0], [13, 19, 48, 8, 27, 0, 0, 867, 46, 0], [5, 1, 1, 2, 7, 0, 0, 2, 956, 0], [23, 9, 3, 4, 753, 4, 1, 92, 120, 0]]"
7,65.35,0.9539286817034213,0.7120930845165148,0.6486949074755992,0.6244955810526109,27050760,92.9591836734694,99.64757709251101,43.895348837209305,98.7128712871287,88.28920570264765,34.19282511210762,83.61169102296451,44.55252918287938,62.83367556468173,0.0,"[[911, 2, 0, 60, 0, 0, 1, 0, 6, 0], [0, 1131, 0, 4, 0, 0, 0, 0, 0, 0], [7, 83, 453, 452, 13, 0, 13, 4, 7, 0], [0, 8, 2, 997, 0, 0, 0, 1, 2, 0], [1, 43, 7, 31, 867, 0, 17, 1, 15, 0], [9, 77, 5, 443, 17, 305, 11, 0, 25, 0], [22, 45, 17, 15, 36, 14, 801, 0, 8, 0], [9, 107, 3, 428, 20, 0, 0, 458, 3, 0], [1, 74, 0, 278, 6, 2, 0, 1, 612, 0], [9, 79, 20, 232, 626, 1, 0, 21, 21, 0]]"
8,78.95,0.674262360976146,0.7475914214804396,0.7856503555010331,0.7470972826167487,30557340,96.73469387755102,96.91629955947137,81.78294573643412,95.04950495049505,94.5010183299389,46.97309417040359,94.05010438413362,83.85214007782102,95.7905544147844,0.0,"[[948, 1, 1, 10, 1, 0, 6, 1, 12, 0], [0, 1100, 0, 4, 0, 0, 4, 0, 27, 0], [8, 13, 844, 38, 24, 0, 21, 8, 76, 0], [1, 2, 15, 960, 3, 1, 1, 5, 22, 0], [0, 2, 3, 0, 928, 0, 27, 2, 20, 0], [25, 14, 7, 225, 30, 419, 44, 2, 126, 0], [16, 3, 7, 2, 25, 1, 901, 0, 3, 0], [5, 31, 47, 42, 26, 0, 0, 862, 15, 0], [1, 3, 2, 21, 7, 0, 5, 2, 933, 0], [8, 12, 14, 29, 771, 2, 1, 93, 79, 0]]"
9,69.38,0.9746294316773216,0.6968515881496551,0.68948584017685,0.6679497371310197,33062040,83.06122448979592,97.3568281938326,98.35271317829456,69.9009900990099,62.52545824847251,56.95067264573991,76.51356993736952,60.019455252918284,84.80492813141683,0.0,"[[814, 0, 139, 0, 0, 0, 16, 1, 10, 0], [0, 1105, 28, 0, 0, 0, 0, 0, 2, 0], [1, 4, 1015, 2, 0, 0, 6, 2, 2, 0], [1, 17, 253, 706, 0, 1, 1, 2, 29, 0], [0, 28, 179, 2, 614, 0, 83, 1, 75, 0], [12, 39, 89, 90, 3, 508, 34, 1, 116, 0], [5, 5, 209, 1, 1, 2, 733, 0, 2, 0], [10, 81, 266, 19, 20, 0, 1, 617, 14, 0], [4, 11, 128, 1, 0, 0, 4, 0, 826, 0], [9, 41, 188, 28, 394, 3, 8, 32, 306, 0]]"
10,82.39,0.5884370392979905,0.8585017628003591,0.8178715353850141,0.8184916137919338,36067680,89.38775510204081,95.41850220264317,78.77906976744185,98.31683168316832,68.12627291242363,40.91928251121077,91.44050104384134,89.6887159533074,88.19301848049281,77.60158572844401,"[[876, 0, 13, 44, 1, 1, 14, 2, 24, 5], [0, 1083, 0, 25, 0, 0, 2, 2, 23, 0], [4, 7, 813, 114, 9, 0, 12, 24, 44, 5], [0, 0, 4, 993, 0, 0, 0, 8, 4, 1], [0, 0, 4, 12, 669, 0, 14, 8, 9, 266], [3, 11, 4, 394, 13, 365, 13, 11, 63, 15], [8, 7, 5, 4, 19, 12, 876, 0, 26, 1], [2, 5, 15, 68, 5, 0, 0, 922, 1, 10], [0, 3, 1, 83, 2, 0, 1, 12, 859, 13], [3, 4, 9, 54, 39, 1, 0, 113, 3, 783]]"
