Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,30.315420560747665,1.8513246929204021,0.13773216178950665,0.2473226127320955,0.13576098166321268,18655377,0.0,0.9615384615384616,0.0,96.89655172413794,0.0,0.0,0.0,100.0,"[[0, 0, 0, 122, 0, 0, 0, 0], [0, 3, 0, 306, 0, 0, 0, 3], [0, 1, 0, 45, 0, 0, 0, 109], [1, 5, 0, 281, 0, 0, 0, 3], [0, 0, 0, 100, 0, 0, 0, 22], [0, 0, 0, 143, 0, 0, 0, 0], [0, 0, 0, 276, 0, 0, 0, 57], [0, 0, 0, 0, 0, 0, 0, 235]]"
2,18.3411214953271,2.8260661054540566,0.15094495629577132,0.12683104177683763,0.04260140334326337,38745783,0.0,100.0,0.6451612903225806,0.0,0.819672131147541,0.0,0.0,0.0,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 147, 1, 0, 7, 0, 0, 0], [0, 290, 0, 0, 0, 0, 0, 0], [0, 121, 0, 0, 1, 0, 0, 0], [0, 143, 0, 0, 0, 0, 0, 0], [0, 333, 0, 0, 0, 0, 0, 0], [0, 192, 0, 0, 43, 0, 0, 0]]"
3,41.35514018691589,1.6665279401673212,0.43068784702138063,0.3717530231364308,0.28822112843644593,58836189,0.0,0.3205128205128205,29.03225806451613,0.0,0.0,71.32867132867133,99.69969969969969,97.02127659574468,"[[0, 0, 0, 0, 0, 57, 65, 0], [0, 1, 1, 2, 0, 54, 253, 1], [0, 0, 45, 0, 0, 4, 101, 5], [0, 0, 0, 0, 0, 118, 172, 0], [0, 0, 0, 0, 0, 0, 122, 0], [0, 0, 0, 0, 0, 102, 41, 0], [0, 0, 0, 0, 0, 0, 332, 1], [0, 0, 6, 0, 0, 0, 1, 228]]"
4,25.700934579439252,1.8358770741356745,0.12500714890039707,0.2372662294958699,0.14505056887468334,77491566,0.0,99.35897435897436,54.19354838709678,0.0,27.86885245901639,8.391608391608392,0.0,0.0,"[[0, 114, 0, 0, 0, 8, 0, 0], [0, 310, 2, 0, 0, 0, 0, 0], [0, 32, 84, 0, 37, 2, 0, 0], [0, 244, 0, 0, 5, 41, 0, 0], [0, 85, 3, 0, 34, 0, 0, 0], [0, 131, 0, 0, 0, 12, 0, 0], [0, 290, 4, 0, 38, 0, 0, 1], [0, 0, 234, 0, 1, 0, 0, 0]]"
5,42.873831775700936,1.327716558067887,0.3595640233462932,0.3947587596581649,0.3294578765424779,99017001,0.0,14.743589743589745,0.0,72.75862068965517,76.22950819672131,13.286713286713287,39.63963963963964,99.14893617021276,"[[0, 0, 0, 104, 7, 11, 0, 0], [0, 46, 0, 233, 21, 0, 9, 3], [0, 1, 0, 14, 61, 1, 33, 45], [0, 0, 0, 211, 30, 38, 11, 0], [0, 0, 0, 29, 93, 0, 0, 0], [0, 0, 0, 122, 1, 19, 1, 0], [0, 44, 0, 47, 108, 0, 132, 2], [0, 0, 0, 0, 1, 0, 1, 233]]"
6,30.257009345794394,2.005381637149387,0.1969852842667294,0.3122529007066416,0.21196029720814236,113367291,99.18032786885246,45.19230769230769,0.0,0.0,0.0,0.0,8.408408408408409,97.02127659574468,"[[121, 1, 0, 0, 0, 0, 0, 0], [169, 141, 0, 0, 0, 0, 1, 1], [20, 17, 0, 0, 0, 0, 113, 5], [265, 22, 0, 0, 0, 0, 3, 0], [78, 19, 0, 0, 0, 0, 25, 0], [141, 2, 0, 0, 0, 0, 0, 0], [32, 273, 0, 0, 0, 0, 28, 0], [0, 0, 0, 0, 0, 0, 7, 228]]"
7,40.71261682242991,1.4717047170356468,0.3082512386407452,0.35925130594543553,0.3067779138055332,127717581,0.0,37.5,64.51612903225806,94.13793103448276,45.90163934426229,0.0,45.34534534534534,0.0,"[[0, 0, 0, 119, 3, 0, 0, 0], [0, 117, 0, 176, 5, 0, 14, 0], [0, 1, 100, 21, 22, 0, 11, 0], [0, 0, 7, 273, 8, 0, 2, 0], [0, 0, 9, 57, 56, 0, 0, 0], [0, 0, 1, 141, 0, 0, 1, 0], [0, 46, 29, 86, 21, 0, 151, 0], [0, 0, 34, 0, 0, 0, 201, 0]]"
8,46.320093457943926,1.2335223025745816,0.4953108759998469,0.453982796192316,0.3614391751064361,144937929,0.0,98.3974358974359,48.38709677419355,4.482758620689655,22.950819672131146,85.3146853146853,4.504504504504505,99.14893617021276,"[[0, 39, 0, 2, 2, 79, 0, 0], [0, 307, 0, 2, 1, 0, 0, 2], [0, 6, 75, 3, 2, 9, 1, 59], [0, 113, 13, 13, 7, 144, 0, 0], [0, 26, 56, 11, 28, 1, 0, 0], [0, 16, 1, 4, 0, 122, 0, 0], [0, 292, 22, 0, 0, 0, 15, 4], [0, 0, 2, 0, 0, 0, 0, 233]]"
9,53.73831775700935,1.1260947397461645,0.5366016081791296,0.5065205880777918,0.4521670376137671,159288219,0.0,33.65384615384615,70.96774193548387,15.862068965517242,18.852459016393443,90.20979020979021,96.09609609609609,79.57446808510639,"[[0, 0, 1, 18, 10, 84, 9, 0], [0, 105, 0, 7, 2, 14, 184, 0], [0, 0, 110, 7, 2, 6, 30, 0], [0, 1, 12, 46, 7, 159, 65, 0], [0, 0, 73, 7, 23, 1, 18, 0], [0, 0, 1, 10, 0, 129, 3, 0], [0, 0, 7, 5, 0, 1, 320, 0], [0, 0, 11, 0, 0, 0, 37, 187]]"
10,67.69859813084112,0.8492322663466135,0.5725625085359995,0.6433551560885521,0.5895679963680804,175073538,0.0,97.43589743589743,74.19354838709677,24.137931034482758,73.77049180327869,74.12587412587412,73.57357357357357,97.44680851063829,"[[0, 24, 0, 32, 15, 51, 0, 0], [0, 304, 0, 2, 2, 0, 4, 0], [0, 0, 115, 7, 17, 4, 4, 8], [0, 43, 10, 70, 41, 113, 13, 0], [0, 0, 25, 7, 90, 0, 0, 0], [0, 5, 1, 30, 0, 106, 1, 0], [0, 40, 27, 3, 17, 0, 245, 1], [0, 0, 6, 0, 0, 0, 0, 229]]"
11,60.455607476635514,1.04221115509669,0.5800573640385686,0.5665842569173034,0.5017521775095889,196598973,56.557377049180324,97.43589743589743,8.38709677419355,60.689655172413794,94.26229508196722,0.0,39.33933933933934,96.59574468085106,"[[69, 3, 0, 35, 15, 0, 0, 0], [1, 304, 0, 4, 2, 0, 1, 0], [0, 1, 13, 10, 109, 0, 16, 6], [39, 15, 0, 176, 57, 1, 2, 0], [1, 0, 0, 6, 115, 0, 0, 0], [20, 1, 0, 120, 1, 0, 1, 0], [2, 125, 0, 7, 68, 0, 131, 0], [0, 0, 3, 0, 2, 0, 3, 227]]"
12,55.60747663551402,1.0990169335294653,0.45204099312171275,0.45205213859126003,0.39876343926076785,212384292,0.0,84.61538461538461,87.74193548387098,90.0,0.0,0.0,58.85885885885885,40.42553191489361,"[[0, 0, 6, 116, 0, 0, 0, 0], [0, 264, 2, 42, 0, 0, 4, 0], [0, 0, 136, 16, 0, 0, 2, 1], [0, 0, 27, 261, 0, 1, 1, 0], [0, 0, 85, 37, 0, 0, 0, 0], [0, 0, 2, 141, 0, 0, 0, 0], [0, 3, 102, 32, 0, 0, 196, 0], [0, 0, 139, 0, 0, 0, 1, 95]]"
