Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,37.85,1.9091989171390715,0.359010761039627,0.36515263109192964,0.2557483006454843,8006240,99.59183673469387,91.01321585903084,0.0,5.643564356435644,0.10183299389002036,0.0,0.0,77.82101167315176,0.0,90.98116947472745,"[[976, 0, 0, 0, 0, 0, 0, 1, 0, 3], [24, 1033, 0, 0, 0, 0, 0, 49, 0, 29], [843, 58, 0, 0, 1, 0, 0, 46, 0, 84], [719, 17, 0, 57, 0, 0, 0, 81, 0, 136], [34, 0, 0, 0, 1, 0, 0, 4, 0, 943], [636, 26, 0, 2, 0, 0, 0, 46, 0, 182], [567, 28, 0, 0, 0, 0, 0, 3, 0, 360], [53, 8, 0, 0, 0, 0, 0, 800, 0, 167], [666, 4, 0, 0, 0, 0, 0, 29, 0, 275], [61, 1, 0, 0, 0, 0, 0, 29, 0, 918]]"
2,56.11,1.493696506031024,0.5889582517172716,0.5595333439078736,0.46277761440079235,17013260,94.89795918367348,97.70925110132158,0.4844961240310077,88.41584158415841,92.05702647657841,68.94618834080718,0.20876826722338201,28.21011673151751,88.60369609856262,0.0,"[[930, 1, 0, 0, 4, 9, 0, 0, 36, 0], [0, 1109, 0, 5, 0, 3, 0, 0, 18, 0], [124, 83, 5, 294, 52, 9, 4, 0, 461, 0], [8, 28, 0, 893, 5, 21, 0, 1, 54, 0], [4, 20, 0, 3, 904, 6, 0, 0, 45, 0], [26, 52, 0, 97, 38, 615, 0, 0, 64, 0], [112, 42, 0, 1, 241, 183, 2, 0, 377, 0], [18, 93, 0, 31, 394, 6, 0, 290, 196, 0], [12, 22, 0, 25, 19, 33, 0, 0, 863, 0], [13, 33, 0, 7, 827, 65, 0, 0, 64, 0]]"
3,59.0,1.1490127206229555,0.6125508937332187,0.5851621248203651,0.5107746455740839,26020280,99.28571428571429,97.18061674008811,22.771317829457363,93.86138613861385,98.37067209775967,70.4035874439462,0.0,74.70817120622569,26.796714579055443,1.7839444995044598,"[[973, 0, 0, 1, 3, 1, 0, 1, 1, 0], [0, 1103, 0, 20, 1, 7, 0, 0, 4, 0], [162, 32, 235, 498, 61, 1, 0, 20, 23, 0], [19, 7, 3, 948, 7, 17, 0, 7, 1, 1], [8, 2, 2, 1, 966, 1, 0, 1, 0, 1], [83, 10, 0, 121, 48, 628, 0, 2, 0, 0], [347, 29, 9, 6, 449, 118, 0, 0, 0, 0], [20, 35, 9, 40, 153, 0, 0, 768, 1, 2], [129, 21, 1, 170, 84, 280, 0, 14, 261, 14], [29, 11, 0, 10, 902, 15, 0, 24, 0, 18]]"
4,52.21,1.2250432532054547,0.6459594911920035,0.5132268390321332,0.44355489818708405,34026520,95.0,99.38325991189427,8.817829457364342,98.41584158415841,96.02851323828921,23.094170403587444,0.0,50.19455252918288,42.09445585215606,0.19821605550049554,"[[931, 1, 0, 42, 3, 0, 0, 0, 3, 0], [0, 1128, 0, 7, 0, 0, 0, 0, 0, 0], [24, 47, 91, 814, 40, 0, 0, 7, 9, 0], [0, 8, 0, 994, 5, 0, 0, 3, 0, 0], [2, 22, 2, 13, 943, 0, 0, 0, 0, 0], [29, 72, 1, 522, 38, 206, 0, 0, 24, 0], [154, 75, 57, 61, 537, 25, 0, 0, 49, 0], [5, 103, 0, 286, 116, 0, 0, 516, 2, 0], [12, 75, 0, 443, 31, 2, 0, 1, 410, 0], [16, 55, 1, 99, 833, 0, 0, 3, 0, 2]]"
5,73.49,0.7994577803741247,0.8343140218647106,0.7283413295669112,0.7314477948768221,44034320,93.36734693877551,97.70925110132158,82.94573643410853,69.009900990099,76.06924643584522,33.07174887892377,72.02505219206681,77.33463035019456,98.56262833675564,28.245787908820613,"[[915, 0, 2, 2, 2, 0, 1, 1, 57, 0], [0, 1109, 1, 1, 0, 0, 0, 0, 24, 0], [6, 22, 856, 8, 9, 0, 8, 4, 119, 0], [1, 33, 52, 697, 1, 3, 0, 2, 221, 0], [1, 24, 13, 0, 747, 0, 29, 1, 140, 27], [10, 36, 10, 38, 4, 295, 5, 0, 494, 0], [23, 24, 64, 1, 22, 10, 690, 0, 124, 0], [5, 67, 55, 8, 10, 0, 0, 795, 76, 12], [1, 5, 3, 2, 2, 0, 1, 0, 960, 0], [9, 21, 19, 2, 183, 2, 2, 16, 470, 285]]"
6,76.88,0.6994941411212611,0.7418356545477606,0.76507947038624,0.7312193542072587,49038220,98.06122448979592,95.15418502202643,78.97286821705426,83.96039603960396,92.76985743380855,46.74887892376682,86.74321503131523,84.8249027237354,97.84394250513347,0.0,"[[961, 0, 0, 0, 1, 0, 1, 1, 16, 0], [0, 1080, 0, 2, 0, 0, 2, 0, 51, 0], [15, 7, 815, 7, 21, 0, 22, 9, 136, 0], [9, 7, 32, 848, 4, 5, 1, 7, 97, 0], [2, 3, 3, 0, 911, 0, 25, 4, 34, 0], [57, 16, 3, 59, 26, 417, 15, 6, 293, 0], [37, 8, 4, 1, 38, 5, 831, 0, 34, 0], [13, 21, 47, 5, 28, 0, 0, 872, 42, 0], [5, 1, 1, 2, 7, 0, 1, 4, 953, 0], [20, 10, 3, 4, 767, 4, 1, 96, 104, 0]]"
7,64.96,0.9773125955091116,0.7137890109448805,0.6443513534750471,0.6204336339579214,54042120,93.16326530612244,99.64757709251101,42.63565891472868,98.7128712871287,88.79837067209776,31.16591928251121,83.08977035490605,47.17898832684825,59.95893223819302,0.0,"[[913, 2, 0, 58, 0, 0, 1, 0, 6, 0], [0, 1131, 0, 4, 0, 0, 0, 0, 0, 0], [7, 73, 440, 476, 14, 0, 13, 4, 5, 0], [0, 8, 2, 997, 0, 0, 0, 1, 2, 0], [1, 42, 7, 28, 872, 0, 17, 1, 14, 0], [11, 70, 5, 474, 19, 278, 11, 0, 24, 0], [22, 47, 16, 16, 38, 13, 796, 0, 10, 0], [8, 100, 1, 409, 22, 0, 0, 485, 3, 0], [1, 68, 0, 311, 6, 2, 0, 2, 584, 0], [9, 74, 20, 235, 637, 0, 0, 16, 18, 0]]"
8,78.73,0.6813035269562429,0.7474513793804529,0.7833934500561857,0.7448940585083028,61047580,96.63265306122449,96.82819383259911,81.2984496124031,94.25742574257426,93.78818737270875,45.73991031390135,94.67640918580375,83.56031128404669,96.61190965092402,0.0,"[[947, 0, 1, 8, 1, 0, 6, 1, 16, 0], [0, 1099, 0, 4, 0, 0, 4, 0, 28, 0], [9, 13, 839, 35, 22, 0, 22, 9, 83, 0], [1, 2, 14, 952, 3, 1, 3, 5, 29, 0], [0, 2, 3, 0, 921, 0, 32, 1, 23, 0], [25, 12, 8, 227, 27, 408, 47, 2, 136, 0], [15, 5, 3, 1, 20, 1, 907, 0, 6, 0], [5, 28, 46, 37, 29, 0, 0, 859, 24, 0], [1, 3, 2, 15, 6, 0, 4, 2, 941, 0], [9, 12, 10, 18, 792, 2, 4, 73, 89, 0]]"
9,68.38,0.9990517976946724,0.6948165696314903,0.6791497015560534,0.6608300781265976,66051480,81.53061224489797,97.09251101321586,98.44961240310077,70.0,63.44195519348269,56.27802690582959,72.23382045929019,59.63035019455253,80.49281314168378,0.0,"[[799, 0, 154, 1, 0, 0, 16, 1, 9, 0], [0, 1102, 31, 0, 0, 0, 0, 0, 2, 0], [1, 4, 1016, 1, 0, 0, 6, 2, 2, 0], [1, 17, 256, 707, 0, 1, 1, 2, 25, 0], [0, 28, 187, 2, 623, 0, 86, 1, 55, 0], [11, 41, 105, 100, 1, 502, 35, 1, 96, 0], [5, 5, 251, 1, 1, 2, 692, 0, 1, 0], [10, 76, 282, 13, 22, 0, 1, 613, 11, 0], [3, 15, 166, 1, 0, 0, 5, 0, 784, 0], [7, 46, 196, 23, 422, 3, 11, 29, 272, 0]]"
10,82.52,0.5854496431712526,0.8589781668020677,0.8192521677312152,0.8190384397955699,72056160,88.9795918367347,95.77092511013215,75.67829457364341,98.11881188118812,68.22810590631364,40.91928251121077,91.54488517745303,90.36964980544747,90.55441478439425,79.08820614469772,"[[872, 0, 13, 42, 1, 1, 15, 2, 29, 5], [0, 1087, 0, 20, 0, 0, 2, 2, 24, 0], [4, 5, 781, 129, 8, 0, 13, 27, 58, 7], [0, 0, 4, 991, 0, 0, 0, 8, 6, 1], [0, 0, 4, 10, 670, 0, 15, 9, 9, 265], [4, 14, 3, 380, 13, 365, 13, 10, 75, 15], [8, 6, 4, 3, 14, 12, 877, 0, 31, 3], [2, 7, 11, 64, 5, 0, 0, 929, 1, 9], [0, 1, 1, 65, 2, 0, 1, 11, 882, 11], [3, 5, 9, 47, 37, 1, 0, 105, 4, 798]]"
