Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Confusion_Matrix
1,29.614485981308412,1.877815023616508,0.11334823922956991,0.24208941202475684,0.12327652236630918,37269739,0.0,1.6025641025641024,0.0,92.06896551724138,0.0,0.0,0.0,100.0,"[[0, 0, 0, 120, 0, 0, 0, 2], [0, 5, 0, 301, 0, 0, 0, 6], [0, 1, 0, 25, 0, 0, 0, 129], [0, 12, 0, 267, 0, 0, 0, 11], [0, 0, 0, 73, 0, 0, 0, 49], [0, 1, 0, 142, 0, 0, 0, 0], [0, 0, 0, 182, 0, 0, 0, 151], [0, 0, 0, 0, 0, 0, 0, 235]]"
2,18.63317757009346,2.666626047205042,0.106976293372728,0.13070602126224037,0.05168015801448535,77406381,0.0,100.0,2.5806451612903225,0.3448275862068966,1.639344262295082,0.0,0.0,0.0,"[[0, 122, 0, 0, 0, 0, 0, 0], [0, 312, 0, 0, 0, 0, 0, 0], [0, 126, 4, 0, 25, 0, 0, 0], [0, 289, 0, 1, 0, 0, 0, 0], [0, 120, 0, 0, 2, 0, 0, 0], [0, 143, 0, 0, 0, 0, 0, 0], [0, 332, 0, 1, 0, 0, 0, 0], [0, 19, 26, 0, 190, 0, 0, 0]]"
3,40.82943925233645,1.5489899339499298,0.29453261807628817,0.36663884740411845,0.2615678613427475,117543023,0.0,0.0,13.548387096774196,0.0,0.0,83.21678321678321,99.09909909909909,97.44680851063829,"[[0, 0, 0, 0, 0, 74, 48, 0], [0, 0, 1, 0, 0, 115, 196, 0], [0, 0, 21, 0, 0, 7, 116, 11], [0, 0, 0, 0, 0, 139, 151, 0], [0, 0, 0, 0, 0, 0, 122, 0], [0, 0, 0, 1, 0, 119, 23, 0], [0, 0, 0, 0, 0, 3, 330, 0], [0, 0, 4, 0, 0, 0, 2, 229]]"
4,27.686915887850468,1.8158425092697144,0.12815513390410177,0.27209392053389936,0.1608434492055945,154812762,0.0,98.71794871794873,56.12903225806451,0.0,51.63934426229508,11.188811188811188,0.0,0.0,"[[0, 109, 0, 0, 3, 10, 0, 0], [0, 308, 2, 0, 2, 0, 0, 0], [0, 19, 87, 0, 47, 2, 0, 0], [0, 235, 0, 0, 14, 41, 0, 0], [0, 56, 3, 0, 63, 0, 0, 0], [0, 126, 0, 0, 1, 16, 0, 0], [0, 191, 9, 0, 133, 0, 0, 0], [0, 0, 234, 0, 1, 0, 0, 0]]"
5,46.55373831775701,1.3186066503877993,0.38042361050629103,0.43737972628788,0.37567127667279343,197816307,0.0,12.5,0.0,52.41379310344828,59.01639344262295,63.63636363636363,62.76276276276276,99.57446808510639,"[[0, 0, 0, 68, 7, 47, 0, 0], [0, 39, 0, 232, 15, 11, 11, 4], [0, 1, 0, 13, 27, 3, 46, 65], [0, 0, 0, 152, 21, 99, 18, 0], [0, 0, 0, 36, 72, 0, 14, 0], [0, 0, 0, 51, 0, 91, 1, 0], [0, 28, 0, 53, 36, 0, 209, 7], [0, 0, 0, 0, 1, 0, 0, 234]]"
6,25.05841121495327,2.218079129854838,0.17069805969076876,0.2743394655857596,0.179230100446478,226485337,99.18032786885246,31.73076923076923,0.0,0.0,0.0,0.0,0.9009009009009009,87.65957446808511,"[[121, 1, 0, 0, 0, 0, 0, 0], [211, 99, 0, 0, 0, 0, 2, 0], [25, 43, 0, 0, 0, 0, 86, 1], [271, 19, 0, 0, 0, 0, 0, 0], [87, 29, 0, 0, 0, 0, 6, 0], [141, 2, 0, 0, 0, 0, 0, 0], [63, 267, 0, 0, 0, 0, 3, 0], [0, 1, 0, 0, 0, 0, 28, 206]]"
7,43.86682242990654,1.5315427912606134,0.3617061490292404,0.3870080997665267,0.3273258831037665,255154367,0.0,27.24358974358974,51.61290322580645,90.3448275862069,68.0327868852459,0.0,72.37237237237237,0.0,"[[0, 0, 0, 116, 6, 0, 0, 0], [0, 85, 0, 176, 9, 0, 42, 0], [0, 0, 80, 15, 38, 0, 22, 0], [0, 0, 3, 262, 17, 0, 8, 0], [0, 0, 3, 36, 83, 0, 0, 0], [0, 0, 1, 141, 0, 0, 1, 0], [0, 10, 13, 43, 26, 0, 241, 0], [0, 0, 5, 0, 1, 0, 229, 0]]"
8,44.80140186915888,1.2076210743851132,0.49437111284317903,0.42628594677347376,0.3101785680903695,289557203,0.0,97.75641025641025,38.064516129032256,7.241379310344828,3.278688524590164,90.9090909090909,4.2042042042042045,99.57446808510639,"[[0, 26, 4, 8, 0, 84, 0, 0], [0, 305, 1, 2, 0, 0, 1, 3], [0, 3, 59, 5, 0, 9, 0, 79], [0, 76, 22, 21, 0, 169, 1, 1], [0, 10, 88, 17, 4, 3, 0, 0], [0, 8, 1, 4, 0, 130, 0, 0], [0, 238, 42, 1, 0, 1, 14, 37], [0, 0, 1, 0, 0, 0, 0, 234]]"
9,58.177570093457945,1.0435401499271393,0.5499713620684433,0.5524648092320039,0.5062604744237571,318226233,0.0,61.858974358974365,68.38709677419355,9.310344827586208,46.72131147540984,89.5104895104895,96.3963963963964,69.7872340425532,"[[0, 1, 0, 16, 13, 89, 3, 0], [0, 193, 0, 4, 2, 10, 103, 0], [0, 0, 106, 3, 4, 9, 33, 0], [0, 3, 10, 27, 18, 169, 63, 0], [0, 0, 47, 8, 57, 1, 9, 0], [0, 0, 1, 11, 0, 128, 3, 0], [0, 0, 5, 5, 1, 1, 321, 0], [0, 0, 6, 0, 0, 0, 65, 164]]"
10,70.26869158878505,0.8042378359370761,0.600536746229667,0.6674159083492965,0.6021590506433654,349762166,0.0,97.75641025641025,72.25806451612902,14.482758620689657,70.49180327868852,92.3076923076923,89.1891891891892,97.44680851063829,"[[0, 17, 0, 19, 14, 71, 1, 0], [0, 305, 0, 0, 2, 1, 4, 0], [0, 0, 112, 2, 14, 9, 7, 11], [0, 13, 12, 42, 30, 161, 32, 0], [0, 0, 27, 7, 86, 1, 1, 0], [0, 3, 1, 5, 0, 132, 2, 0], [0, 18, 8, 3, 6, 1, 297, 0], [0, 0, 6, 0, 0, 0, 0, 229]]"
