Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,37.59,1.997557278258351,0.3066394721118221,0.36275764364216323,0.24953322281377419,3831744,99.59183673469387,89.0748898678414,0.0,2.6732673267326734,0.0,0.0,0.0,81.03112840466926,0.0,90.38652130822597,"[[976, 0, 0, 0, 0, 0, 0, 1, 0, 3], [29, 1011, 0, 0, 0, 0, 0, 82, 0, 13], [859, 46, 0, 0, 1, 0, 0, 45, 0, 81], [768, 16, 0, 27, 0, 0, 0, 92, 0, 107], [25, 0, 0, 0, 0, 0, 0, 6, 0, 951], [644, 20, 0, 1, 0, 0, 0, 62, 0, 165], [571, 27, 0, 0, 0, 0, 0, 4, 0, 356], [55, 4, 0, 0, 0, 0, 0, 833, 0, 136], [706, 2, 0, 0, 0, 0, 0, 47, 0, 219], [55, 0, 0, 0, 0, 0, 0, 42, 0, 912]]"
2,55.04,1.5723848472388027,0.4974343614900773,0.5450550543900132,0.45702018581622966,8142456,96.83673469387755,98.06167400881057,0.0,78.21782178217822,94.19551934826885,38.56502242152467,0.10438413361169101,50.778210116731515,88.29568788501027,0.0,"[[949, 1, 0, 0, 4, 0, 0, 1, 25, 0], [0, 1113, 0, 2, 0, 0, 0, 0, 20, 0], [225, 104, 0, 125, 54, 0, 2, 4, 518, 0], [47, 48, 0, 790, 9, 6, 0, 4, 106, 0], [10, 14, 0, 1, 925, 0, 0, 0, 32, 0], [102, 74, 0, 150, 74, 344, 0, 0, 148, 0], [253, 61, 0, 0, 220, 29, 1, 0, 394, 0], [26, 63, 0, 4, 294, 0, 0, 522, 119, 0], [47, 29, 0, 10, 27, 1, 0, 0, 860, 0], [31, 28, 0, 6, 887, 3, 0, 1, 53, 0]]"
3,56.58,1.254390443095003,0.543731495457773,0.5623738170060056,0.4730727843561275,12453168,98.87755102040816,97.88546255506608,7.3643410852713185,92.47524752475248,96.94501018329939,75.7847533632287,0.0,62.54863813229572,30.49281314168378,0.0,"[[969, 1, 0, 0, 2, 6, 0, 1, 1, 0], [0, 1111, 0, 10, 0, 7, 0, 0, 7, 0], [164, 64, 76, 559, 60, 16, 0, 11, 82, 0], [13, 12, 0, 934, 8, 36, 0, 3, 4, 0], [9, 7, 0, 4, 952, 9, 0, 0, 1, 0], [49, 25, 0, 99, 42, 676, 0, 1, 0, 0], [286, 33, 0, 3, 365, 266, 0, 0, 5, 0], [27, 60, 0, 43, 228, 5, 0, 643, 22, 0], [80, 25, 0, 91, 48, 432, 0, 1, 297, 0], [31, 14, 0, 8, 894, 55, 0, 5, 2, 0]]"
4,52.98,1.21050663040088,0.5543489869363626,0.5220236459216733,0.4519043517976636,16284912,97.55102040816327,98.32599118942731,8.236434108527131,98.31683168316832,96.13034623217924,33.6322869955157,0.0,53.793774319066145,36.03696098562628,0.0,"[[956, 1, 0, 17, 3, 0, 0, 1, 2, 0], [0, 1116, 0, 19, 0, 0, 0, 0, 0, 0], [52, 35, 85, 797, 46, 1, 0, 7, 9, 0], [0, 7, 1, 993, 7, 0, 0, 2, 0, 0], [4, 17, 1, 16, 944, 0, 0, 0, 0, 0], [29, 48, 0, 467, 45, 300, 0, 0, 3, 0], [224, 66, 29, 75, 471, 78, 0, 0, 15, 0], [13, 80, 1, 199, 178, 0, 0, 553, 4, 0], [19, 57, 0, 479, 54, 14, 0, 0, 351, 0], [21, 36, 0, 64, 884, 1, 0, 3, 0, 0]]"
5,68.35,0.8477319247615985,0.7819373116459627,0.675417941045802,0.6438388099328876,21074592,96.53061224489797,99.29515418502203,63.17829457364341,94.65346534653465,92.66802443991853,28.475336322869953,33.40292275574113,68.57976653696498,86.34496919917865,12.289395441030724,"[[946, 1, 0, 10, 3, 0, 0, 1, 19, 0], [0, 1127, 0, 4, 0, 0, 0, 0, 4, 0], [15, 82, 652, 187, 29, 0, 0, 4, 63, 0], [0, 18, 7, 956, 4, 0, 0, 2, 22, 1], [3, 28, 9, 4, 910, 0, 2, 0, 23, 3], [21, 65, 7, 372, 24, 254, 0, 0, 148, 1], [95, 55, 86, 4, 230, 16, 320, 0, 152, 0], [5, 112, 38, 84, 52, 0, 0, 705, 25, 7], [4, 39, 2, 77, 10, 0, 0, 0, 841, 1], [16, 60, 3, 37, 670, 0, 0, 13, 86, 124]]"
6,72.85,0.7475168792108378,0.8281430169822684,0.7213345297679316,0.6856457444322636,23469432,96.12244897959184,96.91629955947137,79.55426356589147,87.32673267326733,87.88187372708758,22.6457399103139,72.96450939457203,78.59922178988327,97.63860369609856,1.6848364717542121,"[[942, 0, 1, 3, 2, 0, 1, 1, 30, 0], [0, 1100, 0, 2, 0, 0, 0, 0, 33, 0], [9, 16, 821, 18, 24, 0, 8, 4, 132, 0], [2, 16, 20, 882, 5, 0, 1, 2, 82, 0], [2, 12, 5, 0, 863, 0, 18, 2, 80, 0], [18, 29, 9, 177, 14, 202, 6, 1, 436, 0], [36, 22, 30, 2, 68, 2, 699, 0, 99, 0], [9, 43, 50, 23, 25, 0, 0, 808, 70, 0], [3, 3, 2, 10, 5, 0, 0, 0, 951, 0], [15, 18, 4, 10, 608, 0, 0, 47, 290, 17]]"
7,74.87,0.7130637017968363,0.8208725551547108,0.7429314260753082,0.7021112013375761,25864272,95.91836734693877,97.88546255506608,79.06976744186046,94.15841584158416,87.88187372708758,31.950672645739907,85.49060542797496,75.09727626459144,95.37987679671458,0.09910802775024777,"[[940, 1, 0, 8, 1, 0, 2, 1, 27, 0], [0, 1111, 0, 4, 0, 0, 2, 0, 18, 0], [9, 23, 816, 57, 20, 0, 15, 5, 87, 0], [0, 9, 13, 951, 3, 1, 1, 4, 28, 0], [2, 16, 9, 0, 863, 0, 27, 5, 60, 0], [21, 39, 9, 261, 14, 285, 14, 4, 245, 0], [25, 23, 19, 2, 26, 5, 819, 0, 39, 0], [8, 55, 46, 88, 21, 0, 0, 772, 38, 0], [2, 10, 3, 26, 4, 0, 0, 0, 929, 0], [10, 26, 13, 29, 626, 0, 0, 79, 225, 1]]"
8,76.09,0.7012509782188616,0.723418848634543,0.7555311266069168,0.7137142224319565,29217048,95.81632653061224,98.23788546255507,80.23255813953489,96.53465346534654,89.71486761710794,35.08968609865471,92.27557411273486,76.45914396887159,91.17043121149896,0.0,"[[939, 1, 2, 12, 0, 0, 6, 1, 19, 0], [0, 1115, 0, 4, 0, 0, 2, 0, 14, 0], [8, 18, 828, 85, 19, 0, 16, 6, 52, 0], [0, 6, 11, 975, 1, 0, 1, 5, 11, 0], [0, 10, 7, 4, 881, 0, 38, 9, 33, 0], [17, 41, 11, 324, 19, 313, 34, 4, 129, 0], [15, 13, 15, 3, 18, 3, 884, 0, 7, 0], [5, 37, 47, 122, 18, 0, 0, 786, 13, 0], [2, 13, 4, 59, 5, 0, 2, 1, 888, 0], [8, 22, 19, 54, 639, 0, 2, 164, 101, 0]]"
9,76.78,0.7116256439076445,0.7177541702983627,0.7628580074020468,0.7221418633683907,31611888,93.6734693877551,98.6784140969163,94.37984496124031,92.77227722772278,83.91038696537679,44.28251121076233,93.63256784968684,73.54085603112841,87.98767967145791,0.0,"[[918, 0, 26, 7, 0, 0, 18, 1, 10, 0], [0, 1120, 6, 2, 0, 0, 2, 0, 5, 0], [3, 10, 974, 11, 6, 0, 15, 3, 10, 0], [1, 7, 51, 937, 1, 1, 0, 4, 8, 0], [0, 14, 38, 7, 824, 0, 59, 8, 32, 0], [13, 44, 35, 261, 11, 395, 45, 2, 86, 0], [11, 7, 34, 1, 4, 1, 897, 0, 3, 0], [6, 51, 106, 89, 13, 0, 0, 756, 7, 0], [2, 17, 43, 44, 4, 0, 5, 2, 857, 0], [9, 29, 60, 73, 572, 0, 4, 173, 89, 0]]"
10,77.37,0.6308956157666045,0.8215769080443647,0.7688376014170909,0.731771212747349,34485696,90.71428571428571,98.14977973568281,95.83333333333334,92.47524752475248,81.67006109979633,47.869955156950674,92.69311064718163,79.96108949416343,87.88501026694045,1.5857284440039643,"[[889, 0, 48, 8, 0, 1, 22, 1, 11, 0], [0, 1114, 12, 2, 0, 0, 2, 0, 5, 0], [2, 5, 989, 10, 4, 0, 11, 5, 6, 0], [0, 3, 58, 934, 0, 1, 0, 6, 8, 0], [0, 10, 56, 17, 802, 0, 52, 12, 33, 0], [10, 38, 38, 252, 13, 427, 39, 4, 71, 0], [5, 6, 48, 1, 3, 3, 888, 0, 4, 0], [3, 29, 107, 57, 6, 0, 0, 822, 4, 0], [1, 9, 53, 42, 2, 0, 5, 6, 856, 0], [7, 19, 67, 104, 473, 0, 3, 258, 62, 16]]"
